model,manifold,fourier,max_coms,max_sents,max_sen_len,max_com_len,embedding_dim,f1,prec,rec,acc,train time,eval time
hs4,lorentz,True,30,30,20,20,200,0.7839376911088484,0.7854166666666667,0.7963423643493301,0.7854166666666667,39.2852680683136,1.8616511821746826
hs4,lorentz,False,30,30,20,20,200,0.7757093203102261,0.775,0.7849993192616064,0.775,40.89239764213562,1.5020718574523926
hs4,poincare,True,30,30,20,20,200,0.7863638089712038,0.7875,0.8002114716065954,0.7875,38.147523403167725,1.757215976715088
hs4,poincare,False,30,30,20,20,200,0.7858515701029785,0.7854166666666667,0.7948044964008586,0.7854166666666667,37.87080645561218,1.5446672439575195
han,lorentz,True,30,30,20,20,200,0.7624076668957903,0.7625,0.7750644429558673,0.7625,96.4678647518158,3.1023263931274414
han,poincare,True,30,30,20,20,200,0.7654923129645019,0.7666666666666667,0.7828032927505645,0.7666666666666667,97.26548743247986,4.278682231903076
han,lorentz,False,30,30,20,20,200,0.7740397554659587,0.7729166666666667,0.781557923706482,0.7729166666666667,79.3846640586853,3.3696351051330566
han,poincare,False,30,30,20,20,200,0.7592974195752653,0.7604166666666666,0.7676157077267275,0.7604166666666666,75.58398008346558,2.892012357711792
hs4,euclid,True,30,30,20,20,200,0.7272963472757397,0.7291666666666666,0.7420377421802055,0.7291666666666666,32.882585287094116,1.2664458751678467
hs4,euclid,False,30,30,20,20,200,0.7400696698494904,0.7395833333333334,0.7504383757832868,0.7395833333333334,33.24083948135376,1.2875912189483643
bert,euclid,True,30,30,20,20,200,0.5651472767401124,0.5770833333333333,0.5955564971220467,0.5770833333333333,24.5707688331604,1.1813840866088867
bert,euclid,False,30,30,20,20,200,0.6156878931086405,0.6229166666666667,0.6408436481543351,0.6229166666666667,23.91391921043396,1.0902791023254395
han,euclid,True,30,30,20,20,200,0.556748461100284,0.5604166666666667,0.5785016109227603,0.5604166666666667,72.66134142875671,2.8279776573181152
bert,poincare,True,30,30,20,20,200,0.5705405757253228,0.5708333333333333,0.5931602315454869,0.5708333333333333,35.622594118118286,1.8476269245147705
bert,lorentz,True,20,20,20,20,200,0.5886158292912738,0.5895833333333333,0.6111098577509665,0.5895833333333333,27.41621708869934,1.2195122241973877
hs4,lorentz,True,20,20,20,20,200,0.7999390096046843,0.8,0.8128620734091903,0.8,40.738744020462036,1.6752216815948486
hs4,euclid,False,20,20,20,20,200,0.764275737586781,0.7645833333333334,0.7734582886798445,0.7645833333333334,38.348336696624756,1.498565673828125
hs4,lorentz,False,20,20,20,20,200,0.7802309796232476,0.78125,0.7964204250306224,0.78125,67.97437191009521,2.586683988571167
hs4,poincare,False,20,20,20,20,200,0.7771401867260116,0.775,0.7960574253586541,0.775,68.37697720527649,2.6548521518707275
