model,manifold,fourier,max_coms,max_sents,max_sen_len,max_com_len,embedding_dim,f1,prec,rec,acc,train time,eval time
hs4,lorentz,True,30,30,20,20,200,0.8511517184966493,0.8515625,0.8618769573142997,0.8515625,46.35912609100342,1.8681321144104004
hs4,poincare,True,30,30,20,20,200,0.8413114103370904,0.8421875,0.8490345134438698,0.8421875,49.48889374732971,2.3020262718200684
hs4,lorentz,False,30,30,20,20,200,0.8400556163742564,0.8390625,0.8554951118925178,0.8390625,53.15737462043762,2.04654860496521
hs4,poincare,False,30,30,20,20,200,0.8395393126657789,0.8375,0.8530372484442497,0.8375,107.02512979507446,4.824699401855469
han,lorentz,True,30,30,20,20,200,0.855522404981695,0.8578125,0.8678854185908467,0.8578125,120.97634148597717,4.854447603225708
han,poincare,True,30,30,20,20,200,0.854015048915447,0.853125,0.8643375940778328,0.853125,126.1950614452362,5.398428201675415
han,lorentz,False,30,30,20,20,200,0.8537573133779166,0.8546875,0.8558488387605593,0.8546875,121.07023358345032,5.092039108276367
han,poincare,False,30,30,20,20,200,0.8543901958838642,0.85625,0.8654611225238422,0.85625,125.30996680259705,5.536518335342407
hs4,euclid,True,30,30,20,20,200,0.8000196128150405,0.7984375,0.815544762081944,0.7984375,44.0705828666687,1.8652925491333008
hs4,euclid,False,30,30,20,20,200,0.8329578874433035,0.834375,0.8415284590266712,0.834375,44.433557748794556,1.8540632724761963
han,euclid,True,30,30,20,20,200,0.5578421472055541,0.592063492063492,0.5749951224598426,0.592063492063492,96.14039993286133,4.005889892578125
bert,lorentz,True,20,20,20,20,200,0.5435873082347523,0.6174603174603175,0.5609457544421966,0.6174603174603175,35.76071500778198,1.7174389362335205
hs4,lorentz,True,20,20,20,20,200,0.8449574900219904,0.846031746031746,0.8534589030813768,0.846031746031746,52.046014070510864,1.9665076732635498
hs4,euclid,False,20,20,20,20,200,0.7902744418729204,0.7888888888888891,0.7978022772448176,0.7888888888888891,57.20315504074097,1.98097562789917
hs4,lorentz,False,20,20,20,20,200,0.8562121552939986,0.8555555555555555,0.8647132122250063,0.8555555555555555,83.51118350028992,3.519868850708008
hs4,poincare,False,20,20,20,20,200,0.8361406285015358,0.834920634920635,0.847352131838163,0.834920634920635,88.86330556869507,4.12544584274292
