model,manifold,fourier,max_coms,max_sents,max_sen_len,max_com_len,embedding_dim,f1,prec,rec,acc,train time,eval time
HS4Model,lorentz,True,30,30,20,20,200,0.9069230769230769,0.90625,0.909412955465587,0.90625,2.873523473739624,0.10003280639648438
HS4Model,poincare,True,30,30,20,20,200,0.9385416666666666,0.9375,0.9471153846153846,0.9375,3.112935781478882,0.11195778846740723
HS4Model,lorentz,False,30,30,20,20,200,1.0,1.0,1.0,1.0,2.8134982585906982,0.10294437408447266
HS4Model,poincare,False,30,30,20,20,200,0.9692251461988304,0.96875,0.971875,0.96875,3.132706880569458,0.1139223575592041
bert,lorentz,True,30,30,20,20,200,0.796875,0.8125,0.8157051282051282,0.8125,2.11576509475708,0.08997344970703125
bert,lorentz,False,30,30,20,20,200,0.796875,0.8125,0.8157051282051282,0.8125,2.144477367401123,0.08840441703796387
bert,poincare,True,30,30,20,20,200,0.9071447507953341,0.90625,0.9098958333333333,0.90625,2.4981484413146973,0.09513497352600098
bert,poincare,False,30,30,20,20,200,0.8213612368024132,0.84375,0.8716517857142857,0.84375,2.510077714920044,0.0941624641418457
han,lorentz,True,30,30,20,20,200,0.9692251461988304,0.96875,0.971875,0.96875,5.519943475723267,0.19579267501831055
han,lorentz,False,30,30,20,20,200,1.0,1.0,1.0,1.0,5.344711065292358,0.18801474571228027
han,poincare,True,30,30,20,20,200,1.0,1.0,1.0,1.0,5.735041379928589,0.19245052337646484
han,poincare,False,30,30,20,20,200,1.0,1.0,1.0,1.0,5.702120065689087,0.19306683540344238
HS4Model,euclid,True,30,30,20,20,200,0.8380398671096345,0.84375,0.8496376811594202,0.84375,2.957777976989746,0.0962376594543457
HS4Model,euclid,False,30,30,20,20,200,0.8665458937198067,0.875,0.895,0.875,2.9582371711730957,0.09180140495300293
bert,euclid,True,30,30,20,20,200,0.8366228070175438,0.84375,0.84765625,0.84375,2.250647783279419,0.07873368263244629
hyphen,poincare,True,30,30,20,20,200,0.9044899874843554,0.90625,0.9049479166666666,0.90625,135.6827883720398,10.03035306930542
bert,euclid,False,30,30,20,20,200,0.840816645807259,0.84375,0.83984375,0.84375,2.270167350769043,0.07694816589355469
hyphen,poincare,False,30,30,20,20,200,1.0,1.0,1.0,1.0,135.67366766929626,9.61693263053894
han,euclid,True,30,30,20,20,200,0.737037037037037,0.7333333333333333,0.7472096530920059,0.7333333333333333,6.200380563735962,0.19065141677856445
HS4Model,lorentz,True,20,20,20,20,200,0.934609250398724,0.9333333333333333,0.9444444444444445,0.9333333333333333,3.5647289752960205,0.12201952934265137
HS4Model,euclid,False,20,20,20,20,200,0.8982216142270861,0.9,0.8988636363636363,0.9,3.749005079269409,0.09985923767089844
HS4Model,lorentz,False,20,20,20,20,200,1.0,1.0,1.0,1.0,3.9289190769195557,0.10694479942321777
HS4Model,poincare,False,20,20,20,20,200,1.0,1.0,1.0,1.0,4.190037727355957,0.12538838386535645
hs4,lorentz,False,20,20,20,20,200,0.9690482502651114,0.96875,0.9713541666666666,0.96875,5.521887540817261,0.1896817684173584
hs4,lorentz,False,20,20,20,20,50,0.876984126984127,0.875,0.90625,0.875,5.969675779342651,0.19181585311889648
hs4,lorentz,True,20,20,20,20,50,0.9071447507953341,0.90625,0.9098958333333333,0.90625,7.7057507038116455,0.25637364387512207
hs4,lorentz,True,20,20,20,20,100,0.9388528138528138,0.9375,0.9479166666666667,0.9375,4.499069690704346,0.2223219871520996
