model,manifold,fourier,max_coms,max_sents,max_sen_len,max_com_len,embedding_dim,f1,prec,rec,acc,train time,eval time
ssm4rc,poincare,True,30,30,20,20,200,0.5921653144016227,0.59375,0.5924479166666666,0.59375,4.236574172973633,0.14678239822387695
ssm4rc,poincare,False,30,30,20,20,200,0.43140713946869075,0.4375,0.4765625,0.4375,4.789791822433472,0.16063833236694336
ssm4rc,euclid,True,30,30,20,20,200,0.44463180008845643,0.46875,0.4826388888888889,0.46875,3.960239887237549,0.13227319717407227
ssm4rc,euclid,False,30,30,20,20,200,0.36862244897959184,0.53125,0.2822265625,0.53125,3.8968753814697266,0.12250494956970215
ssm4rc,poincare,True,30,30,20,20,100,0.5619295131845842,0.5625,0.5629960317460317,0.5625,4.372074842453003,0.14162874221801758
ssm4rc,poincare,False,30,30,20,20,100,0.4583333333333333,0.46875,0.484375,0.46875,4.552314043045044,0.14380216598510742
ssm4rc,euclid,True,30,30,20,20,100,0.4683908045977011,0.5,0.44166666666666665,0.5,3.9986867904663086,0.14165186882019043
ssm4rc,euclid,False,30,30,20,20,100,0.40499999999999997,0.5625,0.31640625,0.5625,3.9499969482421875,0.11954736709594727
ssm4rc,poincare,True,30,30,20,20,50,0.6197916666666666,0.625,0.6483787593984962,0.625,4.429737091064453,0.14261388778686523
ssm4rc,poincare,False,30,30,20,20,50,0.3772233201581028,0.5,0.390625,0.5,4.6282572746276855,0.1468198299407959
ssm4rc,euclid,True,30,30,20,20,50,0.4586363636363636,0.5,0.5011160714285714,0.5,3.8707034587860107,0.12104153633117676
ssm4rc,euclid,False,30,30,20,20,50,0.3333333333333333,0.5,0.25,0.5,5.909927129745483,0.11362242698669434
