model,manifold,fourier,max_coms,max_sents,max_sen_len,max_com_len,embedding_dim,f1,prec,rec,acc,train time,eval time
ssm4rc,lorentz,True,30,30,20,20,100,0.9685935935935936,0.96875,0.9703947368421052,0.96875,4.040497064590454,0.10631799697875977
ssm4rc,lorentz,False,30,30,20,20,100,1.0,1.0,1.0,1.0,3.8106939792633057,0.09938454627990723
ssm4rc,lorentz,True,30,30,20,20,100,0.906158357771261,0.90625,0.907843137254902,0.90625,4.199126720428467,0.10522675514221191
ssm4rc,poincare,True,30,30,20,20,100,0.9065270935960591,0.90625,0.908578431372549,0.90625,4.481128931045532,0.1119680404663086
ssm4rc,poincare,True,30,30,20,20,100,0.905975073313783,0.90625,0.921875,0.90625,4.461332559585571,0.11222147941589355
ssm4rc,lorentz,True,30,30,20,20,100,0.9375,0.9375,0.9375,0.9375,3.994204044342041,0.10288763046264648
ssm4rc,poincare,False,30,30,20,20,100,0.9375,0.9375,0.9375,0.9375,4.299635171890259,0.11674761772155762
ssm4rc,lorentz,False,30,30,20,20,100,0.9375,0.9375,0.9375,0.9375,3.950230836868286,0.10223889350891113
ssm4rc,lorentz,True,30,30,20,20,100,0.9370039682539681,0.9375,0.944078947368421,0.9375,4.09514594078064,0.10385727882385254
ssm4rc,poincare,True,30,30,20,20,100,0.9375,0.9375,0.9375,0.9375,4.717033863067627,0.15737581253051758
